source,target,weight
2014:C40,2015:C10,0.75548905
2014:C40,2015:C2,0.8369871
2014:C40,2015:C24,0.74299014
2014:C40,2015:C28,1.0
2014:C40,2015:C38,0.72825116
2014:C40,2015:C6,0.72750705
2014:C40,2015:C7,0.6496115
2014:C40,2015:C73,0.83830345
2014:C40,2015:C88,0.7370379
2014:C5,2015:C0,7.539520270000001
2014:C5,2015:C1,2.0152334400000003
2014:C5,2015:C2,2.80867075
2014:C5,2015:C3,1.37524521
2014:C5,2015:C38,0.7545197
2014:C5,2015:C43,1.4369445600000001
2014:C5,2015:C5,1.64263117
2014:C5,2015:C51,1.56277267
2014:C5,2015:C6,0.7841772
2014:C5,2015:C66,1.42071594
2014:C5,2015:C8,1.4736114
2014:C5,2015:C88,1.4461754500000001
2014:C5,2015:C89,0.7419362
2014:C6,2015:C0,12.86462934
2014:C6,2015:C1,2.10322621
2014:C6,2015:C10,0.6427107
